+---------------------------------------------+------------+----+
|                     term                    |   docID    | df |
|          ('on', 'september', '18')          |   ['2']    | 1  |
|           ('on', 'september', '6')          |   ['2']    | 1  |
|            ('on', 'the', 'outer')           |   ['2']    | 1  |
|       ('opposite', 'direction', 'of')       |   ['1']    | 1  |
|         ('or', 'cyclonic', 'refers')        |   ['1']    | 1  |
|         ('or', 'even', 'destroyed')         |   ['2']    | 1  |
|          ('or', 'indian', 'ocean')          |   ['1']    | 1  |
|          ('origin', 'of', 'these')          |   ['1']    | 1  |
|           ('out', 'a', 'portion')           |   ['2']    | 1  |
|           ('outer', 'banks', 'of')          |   ['2']    | 1  |
|         ('outer', 'banks,', 'where')        |   ['2']    | 1  |
|           ('over', 'land', 'and')           |   ['2']    | 1  |
|         ('over', 'large', 'bodies')         |   ['1']    | 1  |
|         ('over', 'tropical', 'seas')        |   ['1']    | 1  |
|     ('over', 'western', 'pennsylvania')     |   ['2']    | 1  |
|         ('pacific', 'ocean', 'and')         |   ['1']    | 1  |
|        ('pacific', 'ocean', 'while')        |   ['1']    | 1  |
|         ('pacific', 'or', 'indian')         |   ['1']    | 1  |
|           ('peak', 'winds', 'of')           |   ['2']    | 1  |
|       ('pennsylvania', 'the', 'next')       |   ['2']    | 1  |
|        ('permit', 'the', 'benguela')        |   ['1']    | 1  |
|        ('portion', 'of', 'hatteras')        |   ['2']    | 1  |
|      ('primarily', 'by', 'horizontal')      |   ['1']    | 1  |
|         ('produce', 'heavy', 'rain')        |   ['1']    | 1  |
|    ('quartersphere', 'mainly', 'because')   |   ['1']    | 1  |
|       ('quickly', 'weakened', 'over')       |   ['2']    | 1  |
|         ('rain', 'depending', 'on')         |   ['1']    | 1  |
|          ('rain', 'when', 'moist')          |   ['1']    | 1  |
|       ('rapidly', 'rotating', 'storm')      |   ['1']    | 1  |
|         ('rarely', 'form', 'within')        |   ['1']    | 1  |
|          ('reach', 'peak', 'winds')         |   ['2']    | 1  |
|      ('recondenses', 'into', 'clouds')      |   ['1']    | 1  |
|           ('referred', 'to', 'by')          |   ['1']    | 1  |
|         ('referred', 'to', 'simply')        |   ['1']    | 1  |
|           ('refers', 'to', 'the')           |   ['1']    | 1  |
|          ('refers', 'to', 'their')          |   ['1']    | 1  |
|       ('relatively', 'warm', 'water')       |   ['1']    | 1  |
|         ('reported', 'the', 'most')         |   ['2']    | 1  |
